LONGITUDE,OWNER,YEAR,LATITUDE,TREATPLANT,TPSHORT,CLASS,TOTAL_PROD,RW_REUSED,CONTACT,RW_UNUSED,PERCNT_USE,OWNER_URL,RW_UNUSED_
144.1165233,Barwon Water,2023-24,-38.42642582,Aireys Inlet treatment plant,Aireys Inlet WRP,C,0,0,info@barwonwater.vic.gov.au,0,0,https://www.barwonwater.vic.gov.au/,0
144.1995962,Barwon Water,2023-24,-38.4047283,Anglesea treatment plant,Anglesea WRP,B,359.9,62.6,info@barwonwater.vic.gov.au,297.2,17.40161068901697,https://www.barwonwater.vic.gov.au/,392.93
143.6501263,Barwon Water,2023-24,-38.75926297,Apollo Bay treatment plant,Apollo Bay WRP,C,401.5,14.5,info@barwonwater.vic.gov.au,387,3.602854189756298,https://www.barwonwater.vic.gov.au/,453.41
144.14584,Barwon Water,2023-24,-38.02701,Bannockburn treatment plant,Bannockburn WRP,C,201.3,111.6,info@barwonwater.vic.gov.au,89.8,55.403479323205595,https://www.barwonwater.vic.gov.au/,75.54
143.7905472,Barwon Water,2023-24,-38.31343352,Birregurra treatment plant,Birregurra WRP,C,26.7,5.8,info@barwonwater.vic.gov.au,20.9,21.765058885304928,https://www.barwonwater.vic.gov.au/,12.74
144.4140047,Barwon Water,2023-24,-38.28354505,Black Rock treatment plant,Black Rock WRP,C,26731.6,2399.1,info@barwonwater.vic.gov.au,24332.5,8.974607695980676,https://www.barwonwater.vic.gov.au/,24541.8
143.6110464,Barwon Water,2023-24,-38.32617154,Colac treatment plant,Colac WRP,C,2174,58.3,info@barwonwater.vic.gov.au,2115.7,2.680266789328427,https://www.barwonwater.vic.gov.au/,2078.67
143.9776383,Barwon Water,2023-24,-38.51820788,Lorne treatment plant,Lorne WRP,C,301.4,15,info@barwonwater.vic.gov.au,286.4,4.976395298301722,https://www.barwonwater.vic.gov.au/,290.54
144.3693365,Barwon Water,2023-24,-38.0813242,Northern WRP,Northern WRP,A,1319.3,1319.3,info@barwonwater.vic.gov.au,0,100,https://www.barwonwater.vic.gov.au/,0
144.7144836,Barwon Water,2023-24,-38.14891066,Portarlington treatment plant,Portarlington WRP,C,223.4,203.4,info@barwonwater.vic.gov.au,20.1,91.01715472370287,https://www.barwonwater.vic.gov.au/,56.81
143.9872106,Barwon Water,2023-24,-38.23238368,Winchelsea treatment plant,Winchelsea WRP,C,75.2,10.9,info@barwonwater.vic.gov.au,64.2,14.574241617881853,https://www.barwonwater.vic.gov.au/,44.11
143.44366,Central Highlands Water,2023-24,-37.06696,Avoca treatment plant,Avoca,C,43.4,43.4,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,4.76
144.259785,Central Highlands Water,2023-24,-37.61912911,Ballan treatment plant,Ballan,C,102.1,102.1,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,117.41
143.41574,Central Highlands Water,2023-24,-37.41387,Beaufort treatment plant,Beaufort,C,100.3,100.3,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,24.98
143.8239532,Central Highlands Water,2023-24,-37.51431432,Ballarat North treatment plant,BNTP,"A,B",2958.9,623.4,customer.enquiries@chw.net.au,2335.5,21.068444816957765,https://www.chw.net.au/,2734.79
143.8512798,Central Highlands Water,2023-24,-37.59615634,Ballarat South treatment plant,BSTP,B,7028.7,109.6,customer.enquiries@chw.net.au,6919.1,1.559032085500631,https://www.chw.net.au/,7869.08
143.68225,Central Highlands Water,2023-24,-37.51991,Cardigan Village treatment plant,Cardigan Village,C,40.9,40.9,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,14.69
143.80645,Central Highlands Water,2023-24,-37.27525,Clunes treatment plant,Clunes,C,64.5,29.6,customer.enquiries@chw.net.au,34.9,45.8462492250465,https://www.chw.net.au/,22.66
144.12038,Central Highlands Water,2023-24,-37.27932,Daylesford treatment plant,Daylesford,C,458.5,458.5,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,115.6
144.14574,Central Highlands Water,2023-24,-37.53851,Gordon treatment plant,Gordon,C,25.5,25.5,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,4.79
143.77381,Central Highlands Water,2023-24,-37.0046,Maryborough treatment plant,Maryborough,C,531,453,customer.enquiries@chw.net.au,78,85.31128771044405,https://www.chw.net.au/,122.23
143.33773,Central Highlands Water,2023-24,-37.63034,Skipton treatment plant,Skipton,C,0,0,customer.enquiries@chw.net.au,0,0,https://www.chw.net.au/,0
143.554318,Central Highlands Water,2023-24,-37.60199023,Snake Valley treatment plant,Snake Valley,C,17.2,17.2,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,0
143.6263335,Central Highlands Water,2023-24,-37.33518451,Waubra treatment plant,Waubra,C,6.8,6.8,customer.enquiries@chw.net.au,0,100,https://www.chw.net.au/,0
144.4969894,Coliban Water,2023-24,-36.79837507,Axedale treatment plant,Axedale,B,15,15,wtro@coliban.com.au,0,100,https://coliban.com.au,0
144.299539,Coliban Water,2023-24,-36.69290885,Bendigo treatment plant,Bendigo,"A,B,C",7154.6,1609.5,wtro@coliban.com.au,5545.1,22.49590822115593,https://coliban.com.au,5824.42
143.74611,Coliban Water,2023-24,-36.10167,Boort treatment plant,Boort,C,47.1,47.1,wtro@coliban.com.au,0,100,https://coliban.com.au,7.24
143.93425,Coliban Water,2023-24,-36.60734,Bridgewater / Inglewood treatment plant,Bridgewater,C,0,0,wtro@coliban.com.au,0,0,https://coliban.com.au,0
144.1975517,Coliban Water,2023-24,-37.07442942,Castlemaine treatment plant,Castlemaine,C,1389.2,50.2,wtro@coliban.com.au,1339,3.61359055571552,https://coliban.com.au,1348.92
144.205,Coliban Water,2023-24,-35.8192,Cohuna treatment plant,Cohuna,no reuse,0,0,wtro@coliban.com.au,0,0,https://coliban.com.au,0
143.724,Coliban Water,2023-24,-36.86947,Dunolly treatment plant,Dunolly,C,25.8,0,wtro@coliban.com.au,25.8,0,https://coliban.com.au,17.3
144.6597761,Coliban Water,2023-24,-36.13853371,Echuca treatment plant,Echuca,B,1159.6,1159.6,wtro@coliban.com.au,0,100,https://coliban.com.au,0
144.6515158,Coliban Water,2023-24,-36.50623103,Elmore treatment plant,Elmore,C,0,0,wtro@coliban.com.au,0,0,https://coliban.com.au,0
144.3740525,Coliban Water,2023-24,-36.00070136,Gunbower / Leitchville treatment plant,Gunbower,C,33.9,33.9,wtro@coliban.com.au,0,100,https://coliban.com.au,0
144.68935,Coliban Water,2023-24,-36.90052,Heathcote treatment plant,Heathcote,C,85.7,85.7,wtro@coliban.com.au,0,100,https://coliban.com.au,0
144.4509414,Coliban Water,2023-24,-37.23072578,Kyneton treatment plant,Kyneton,"B,C",1052.2,668.9,wtro@coliban.com.au,383.3,63.571218126003856,https://coliban.com.au,583.72
144.54171,Coliban Water,2023-24,-36.29922,Lockington treatment plant,Lockington,C,0,0,wtro@coliban.com.au,0,0,https://coliban.com.au,0
144.13009,Coliban Water,2023-24,-36.05594,Pyramid Hill treatment plant,Pyramid Hill,C,5,0,wtro@coliban.com.au,5,0,https://coliban.com.au,7.44
144.6768351,Coliban Water,2023-24,-36.35820283,Rochester treatment plant,Rochester,B,0,0,wtro@coliban.com.au,0,0,https://coliban.com.au,0
143.6414213,Coliban Water,2023-24,-36.41954037,Wedderburn treatment plant,Wedderburn,C,27.7,27.7,wtro@coliban.com.au,0,100,https://coliban.com.au,4.4
147.6150918,East Gippsland Water,2023-24,-37.84788747,Bairnsdale treatment plant,Bairnsdale WWTP,C,1370.1,1341.3,egw@egwater.vic.gov.au,28.8,97.89796365228815,https://www.egwater.vic.gov.au/,20.56
148.9567585,East Gippsland Water,2023-24,-37.73731831,Bemm River treatment plant,Bemm River WWTP,C,8.5,0,egw@egwater.vic.gov.au,8.5,0,https://www.egwater.vic.gov.au/,5.32
149.1297903,East Gippsland Water,2023-24,-37.5762544,Cann River treatment plant,Cann River WWTP,C,16.9,16.9,egw@egwater.vic.gov.au,0,100,https://www.egwater.vic.gov.au/,10.7
147.25558,East Gippsland Water,2023-24,-37.03158,Dinner Plain treatment plant,Dinner Plain WWTP,C,93.5,93.5,egw@egwater.vic.gov.au,0,100,https://www.egwater.vic.gov.au/,0
148.02423,East Gippsland Water,2023-24,-37.86607,Lakes Entrance treatment plant,Lakes Entrance WWTP,C,773.8,647,egw@egwater.vic.gov.au,126.8,83.6133367795296,https://www.egwater.vic.gov.au/,217.48
