SiteID,Name,Short Name,Latitude,Longitude,Geographic Coordinate System,Easting,Northing,Zone,Start date,Cease date,Active,Elevation (m),Basin,Site types,Catchment Management Authority,Gauge Zero (mAHD),Drainage Area (sq.km),Gauge Count,Last Gauge Date,First Gauge Date,Maximum Gauge (m),Maximum Gauge Date,Gauge Datum,Control,Cease to flow (m),Datum,Spillway (mAHD)
 "221201","CANN RIVER (WEST BRANCH) @ WEERAGUA","CANN (WB) @ WEERAGUA"," 37�22'22.6""S","149�11'55.2""E","World Geodetic System 1984","694682.003","5861473.000","55","1922/04/22","","true","152.951","East Gippsland","RF,SW,WQ","East Gippsland CMA","153.956","315.49929","543","2026/02/18","1957/05/28","3.840","2011/06/10","Universal Transverse Mercator","NATURAL ROCK","-0.097","Australian Height Datum","0.000"
 "221202","GENOA RIVER @ WANGARABELL","GENOA @ WANGARABELL"," 37�22'55.5""S","149�29'11.8""E","Geodetic Datum of Australia 1994","720154.845","5859838.207","55","1922/01/01","","true","106.457","East Gippsland","SW","East Gippsland CMA","0.000","272.45054","104","2026/03/17","1922/04/21","3.220","2025/07/03","(unknown)","NATURAL ROCK","0.000","Unknown","0.000"
 "221207","ERRINUNDRA RIVER @ ERRINUNDRA","ERRINUNDRA @ ERRINUN"," 37�26'49.3""S","148�54'54.9""E","World Geodetic System 1984","669418.000","5853798.000","55","1968/02/20","","true","139.789","East Gippsland","SW,WQ","East Gippsland CMA","0.000","160.79568","438","2026/04/20","1968/03/19","2.710","2002/02/11","Universal Transverse Mercator","NATURAL ROCK","0.710","Gauge Datum","0.000"
 "221208","WINGAN RIVER @ WINGAN INLET NATIONAL PARK","WINGAN @WINGAN INLET"," 37�41'19.6""S","149�29'30.4""E","World Geodetic System 1984","719710.303","5825779.499","55","1979/06/22","","true","36.163","East Gippsland","SW,WQ","East Gippsland CMA","0.000","419.79326","321","2026/04/21","1970/10/07","4.460","2011/06/10","Universal Transverse Mercator","NATURAL ROCK BAR","0.900","Arbitrary","0.000"
 "221209","CANN RIVER (EAST BRANCH) @ WEERAGUA","CANN (EBR) WEERAGUA"," 37�21'19.6""S","149�12'25.4""E","World Geodetic System 1984","695470.002","5863398.000","55","1972/10/23","","true","178.460","East Gippsland","RF,SW,WQ","East Gippsland CMA","0.000","137.29940","454","2026/02/18","1971/09/06","2.760","1978/06/18","Universal Transverse Mercator","NATURAL ROCK BAR","0.080","Unknown","0.000"
 "221210","GENOA RIVER @ THE GORGE","GENOA @ GORGE"," 37�24'56.8""S","149�31'13.4""E","World Geodetic System 1984","723045.999","5856006.999","55","1972/08/22","","true","86.605","East Gippsland","RF,SW,WQ","East Gippsland CMA","81.736","324.00231","395","2026/03/17","1972/08/22","3.561","2011/03/22","Universal Transverse Mercator","NATURAL ROCK","0.212","Unknown","0.000"
 "221211","COMBIENBAR RIVER @ COMBIENBAR","COMBIENBAR @ COMB."," 37�26'24.7""S","148�58'59.3""E","World Geodetic System 1984","675439.003","5854433.000","55","1974/08/12","","true","164.400","East Gippsland","SW,WQ","East Gippsland CMA","0.000","178.49287","392","2026/04/20","1974/08/12","3.603","2012/03/08","Universal Transverse Mercator","NATURAL ROCK BAR","1.090","Gauge Datum","0.000"
 "221212","BEMM RIVER @ PRINCES HIGHWAY","BEMM @ PRINCES HWY"," 37�36'25.7""S","148�54'05.9""E","World Geodetic System 1984","667854.996","5836059.000","55","1975/04/30","","true","58.468","East Gippsland","SW,WQ","East Gippsland CMA","55.590","730.49718","376","2026/04/22","1975/03/20","11.881","1985/09/14","Universal Transverse Mercator","NATURAL GRAVEL AND ROCK","0.000","Unknown","0.000"
 "221218","BETKA RIVER @ MINERS TRACK","BETKA R @ MINERS TRK"," 37�35'43.2""S","149�38'08.2""E","World Geodetic System 1984","732688.001","5835801.000","55","1996/01/16","","true","31.319","East Gippsland","SW","East Gippsland CMA","0.000","89.63590","75","2026/03/18","1996/01/16","0.614","1999/02/02","Universal Transverse Mercator","Natural; Rock bar","0.127","Arbitrary","0.000"
 "221224","CANN RIVER @ U/S CANN RIVER OFFTAKE","CANN RV U/S O/TAKE"," 37�32'19.1""S","149�09'24.1""E","World Geodetic System 1984","690544.001","5843171.000","55","2009/03/11","","true","99.701","East Gippsland","SW,WQ","East Gippsland CMA","94.535","616.42205","107","2026/03/18","2009/05/21","3.990","2015/04/23","Universal Transverse Mercator","","0.000","Unknown","0.000"
