Heading,Water year,Attribute,Value
Surface water,2023-24,Entitlement,6635480
Surface water,2023-24,Available,21088949
Groundwater,2023-24,Entitlement,949134
Groundwater,2023-24,Available,987718
Surface water,2022-23,Entitlement,6763391
Surface water,2022-23,Available,49028935
Groundwater,2022-23,Entitlement,949157
Groundwater,2022-23,Available,987392
Surface water,2021-22,Entitlement,6659315
Surface water,2021-22,Available,33025526
Groundwater,2021-22,Entitlement,953312
Groundwater,2021-22,Available,1004648
Surface water,2020-21,Entitlement,6583506
Surface water,2020-21,Available,22304578
Groundwater,2020-21,Entitlement,948282
Groundwater,2020-21,Available,999820
