Date,Reservoir,Value,System
31/1/2010,White Swan,11998,Ballarat
28/2/2010,White Swan,11928,Ballarat
31/3/2010,White Swan,12138,Ballarat
30/4/2010,White Swan,11537.54727,Ballarat
31/5/2010,White Swan,10876,Ballarat
30/6/2010,White Swan,10635,Ballarat
31/7/2010,White Swan,10665,Ballarat
31/8/2010,White Swan,12297,Ballarat
30/9/2010,White Swan,13358,Ballarat
31/10/2010,White Swan,13631,Ballarat
30/11/2010,White Swan,13544,Ballarat
31/12/2010,White Swan,13556,Ballarat
31/1/2011,White Swan,13643,Ballarat
28/2/2011,White Swan,13420,Ballarat
31/3/2011,White Swan,13187,Ballarat
30/4/2011,White Swan,13346,Ballarat
31/5/2011,White Swan,13199,Ballarat
30/6/2011,White Swan,13371,Ballarat
31/7/2011,White Swan,13494,Ballarat
31/8/2011,White Swan,13334,Ballarat
30/9/2011,White Swan,13236,Ballarat
31/10/2011,White Swan,13482,Ballarat
30/11/2011,White Swan,13235,Ballarat
31/12/2011,White Swan,13198.78,Ballarat
31/1/2012,White Swan,12546,Ballarat
29/2/2012,White Swan,11774,Ballarat
31/3/2012,White Swan,11283.6,Ballarat
30/4/2012,White Swan,10785,Ballarat
31/5/2012,White Swan,10352,Ballarat
30/6/2012,White Swan,10331,Ballarat
31/7/2012,White Swan,11394,Ballarat
31/8/2012,White Swan,12955,Ballarat
30/9/2012,White Swan,13223,Ballarat
31/10/2012,White Swan,13346,Ballarat
30/11/2012,White Swan,13248,Ballarat
31/12/2012,White Swan,13346,Ballarat
31/1/2013,White Swan,12678,Ballarat
28/2/2013,White Swan,11981,Ballarat
31/3/2013,White Swan,11141,Ballarat
30/4/2013,White Swan,10530,Ballarat
31/5/2013,White Swan,9918,Ballarat
30/6/2013,White Swan,9457,Ballarat
31/7/2013,White Swan,9154,Ballarat
31/8/2013,White Swan,9756,Ballarat
30/9/2013,White Swan,10352,Ballarat
31/10/2013,White Swan,10498,Ballarat
30/11/2013,White Swan,11152,Ballarat
31/12/2013,White Swan,11449,Ballarat
31/1/2014,White Swan,10935,Ballarat
28/2/2014,White Swan,9827,Ballarat
31/3/2014,White Swan,9359,Ballarat
30/4/2014,White Swan,8896,Ballarat
31/5/2014,White Swan,8632,Ballarat
30/6/2014,White Swan,8540,Ballarat
31/7/2014,White Swan,8641.7,Ballarat
31/8/2014,White Swan,10414,Ballarat
30/9/2014,White Swan,10753,Ballarat
31/10/2014,White Swan,10721,Ballarat
30/11/2014,White Swan,10763.8,Ballarat
31/12/2014,White Swan,10174.9,Ballarat
31/1/2015,White Swan,9125,Ballarat
28/2/2015,White Swan,8558,Ballarat
31/3/2015,White Swan,7601,Ballarat
30/4/2015,White Swan,7228,Ballarat
31/5/2015,White Swan,7022,Ballarat
30/6/2015,White Swan,6916,Ballarat
31/7/2015,White Swan,6860,Ballarat
31/8/2015,White Swan,6954.7,Ballarat
30/9/2015,White Swan,7413,Ballarat
31/10/2015,White Swan,7618,Ballarat
30/11/2015,White Swan,7405,Ballarat
31/12/2015,White Swan,6965,Ballarat
31/1/2016,White Swan,6732,Ballarat
29/2/2016,White Swan,6672.61,Ballarat
31/3/2016,White Swan,7030,Ballarat
30/4/2016,White Swan,7396,Ballarat
31/5/2016,White Swan,7636,Ballarat
30/6/2016,White Swan,8274,Ballarat
31/7/2016,White Swan,10903,Ballarat
31/8/2016,White Swan,12895,Ballarat
30/9/2016,White Swan,14475,Ballarat
31/10/2016,White Swan,14182,Ballarat
30/11/2016,White Swan,14246,Ballarat
31/12/2016,White Swan,14271,Ballarat
31/1/2017,White Swan,14094,Ballarat
28/2/2017,White Swan,13868,Ballarat
31/3/2017,White Swan,13593,Ballarat
30/4/2017,White Swan,13705,Ballarat
31/5/2017,White Swan,13211,Ballarat
30/6/2017,White Swan,12297,Ballarat
31/7/2017,White Swan,11706,Ballarat
31/8/2017,White Swan,12475,Ballarat
30/9/2017,White Swan,13556,Ballarat
31/10/2017,White Swan,13334,Ballarat
30/11/2017,White Swan,13028,Ballarat
31/12/2017,White Swan,12943,Ballarat
31/1/2018,White Swan,12642,Ballarat
28/2/2018,White Swan,12086,Ballarat
31/3/2018,White Swan,11560,Ballarat
30/4/2018,White Swan,11141,Ballarat
31/5/2018,White Swan,10721,Ballarat
30/6/2018,White Swan,10404,Ballarat
31/7/2018,White Swan,9766,Ballarat
31/8/2018,White Swan,10372,Ballarat
30/9/2018,White Swan,10668,Ballarat
31/10/2018,White Swan,10657.17,Ballarat
30/11/2018,White Swan,10849,Ballarat
31/12/2018,White Swan,10317,Ballarat
31/1/2019,White Swan,9918.32,Ballarat
28/2/2019,White Swan,9193.03,Ballarat
31/3/2019,White Swan,8447.3,Ballarat
30/4/2019,White Swan,8174,Ballarat
31/5/2019,White Swan,8066,Ballarat
30/6/2019,White Swan,8228,Ballarat
31/7/2019,White Swan,8867,Ballarat
31/8/2019,White Swan,11087,Ballarat
30/9/2019,White Swan,12344.32,Ballarat
31/10/2019,White Swan,12297,Ballarat
30/11/2019,White Swan,12262,Ballarat
31/12/2019,White Swan,12321,Ballarat
31/1/2020,White Swan,11877,Ballarat
29/2/2020,White Swan,11306,Ballarat
31/3/2020,White Swan,10871,Ballarat
30/4/2020,White Swan,10732,Ballarat
31/5/2020,White Swan,10477,Ballarat
30/6/2020,White Swan,10541,Ballarat
31/7/2020,White Swan,10871,Ballarat
31/8/2020,White Swan,11394,Ballarat
30/9/2020,White Swan,12004.52,Ballarat
31/10/2020,White Swan,12737.65,Ballarat
30/11/2020,White Swan,12582,Ballarat
31/12/2020,White Swan,12629.76,Ballarat
31/1/2021,White Swan,12678,Ballarat
28/2/2021,White Swan,12498,Ballarat
31/3/2021,White Swan,12285,Ballarat
30/4/2021,White Swan,11900.3,Ballarat
31/5/2021,White Swan,11717.42,Ballarat
30/6/2021,White Swan,12203.08,Ballarat
31/7/2021,White Swan,12701.64,Ballarat
31/8/2021,White Swan,12593.87,Ballarat
30/9/2021,White Swan,12606,Ballarat
31/10/2021,White Swan,12581.94,Ballarat
30/11/2021,White Swan,12701.64,Ballarat
31/12/2021,White Swan,12546,Ballarat
31/1/2022,White Swan,12179.62,Ballarat
28/2/2022,White Swan,11831,Ballarat
31/3/2022,White Swan,11416,Ballarat
30/4/2022,White Swan,11011,Ballarat
31/5/2022,White Swan,10968,Ballarat
30/6/2022,White Swan,11087.02,Ballarat
31/7/2022,White Swan,11537.88,Ballarat
31/8/2022,White Swan,11981.36,Ballarat
30/9/2022,White Swan,11993,Ballarat
31/10/2022,White Swan,12028,Ballarat
30/11/2022,White Swan,11912,Ballarat
31/12/2022,White Swan,11993,Ballarat
31/1/2023,White Swan,11672,Ballarat
28/2/2023,White Swan,11416,Ballarat
31/3/2023,White Swan,10860,Ballarat
30/4/2023,White Swan,10657,Ballarat
31/5/2023,White Swan,10477,Ballarat
30/6/2023,White Swan,11087,Ballarat
31/7/2023,White Swan,11683,Ballarat
31/8/2023,White Swan,11560,Ballarat
30/9/2023,White Swan,11638.5,Ballarat
31/10/2023,White Swan,11571.3,Ballarat
30/11/2023,White Swan,11207,Ballarat
31/12/2023,White Swan,11054,Ballarat
31/1/2024,White Swan,10530,Ballarat
29/2/2024,White Swan,9507,Ballarat
31/3/2024,White Swan,8577,Ballarat
30/4/2024,White Swan,8040,Ballarat
31/5/2024,White Swan,7456,Ballarat
30/6/2024,White Swan,6859.9,Ballarat
31/7/2024,White Swan,6489,Ballarat
31/8/2024,White Swan,6358,Ballarat
30/9/2024,White Swan,6396,Ballarat
31/10/2024,White Swan,6700.2,Ballarat
30/11/2024,White Swan,6496,Ballarat
31/12/2024,White Swan,5924,Ballarat
31/1/2025,White Swan,5271,Ballarat
28/2/2025,White Swan,4781,Ballarat
31/3/2025,White Swan,4624,Ballarat
30/4/2025,White Swan,4775,Ballarat
31/5/2025,White Swan,5026,Ballarat
30/6/2025,White Swan,5278,Ballarat
31/7/2025,White Swan,5191,Ballarat
31/8/2025,White Swan,5265,Ballarat
30/9/2025,White Swan,6228,Ballarat
31/1/2010,Moorabool,851,Ballarat
28/2/2010,Moorabool,814,Ballarat
31/3/2010,Moorabool,817,Ballarat
30/4/2010,Moorabool,806.257157,Ballarat
31/5/2010,Moorabool,810,Ballarat
30/6/2010,Moorabool,840,Ballarat
31/7/2010,Moorabool,923,Ballarat
31/8/2010,Moorabool,1771,Ballarat
30/9/2010,Moorabool,3903,Ballarat
31/10/2010,Moorabool,4588,Ballarat
30/11/2010,Moorabool,5228,Ballarat
31/12/2010,Moorabool,5822,Ballarat
31/1/2011,Moorabool,6625,Ballarat
28/2/2011,Moorabool,6724,Ballarat
31/3/2011,Moorabool,6724,Ballarat
30/4/2011,Moorabool,6707,Ballarat
31/5/2011,Moorabool,6741,Ballarat
30/6/2011,Moorabool,6707,Ballarat
31/7/2011,Moorabool,6707,Ballarat
31/8/2011,Moorabool,6724,Ballarat
30/9/2011,Moorabool,6674,Ballarat
31/10/2011,Moorabool,6724,Ballarat
30/11/2011,Moorabool,6723,Ballarat
31/12/2011,Moorabool,6624.656363,Ballarat
31/1/2012,Moorabool,6301,Ballarat
29/2/2012,Moorabool,5659,Ballarat
31/3/2012,Moorabool,5730.48,Ballarat
30/4/2012,Moorabool,5688,Ballarat
31/5/2012,Moorabool,5475,Ballarat
30/6/2012,Moorabool,5975,Ballarat
31/7/2012,Moorabool,6738,Ballarat
31/8/2012,Moorabool,6192,Ballarat
30/9/2012,Moorabool,6178,Ballarat
31/10/2012,Moorabool,6134,Ballarat
30/11/2012,Moorabool,5716,Ballarat
31/12/2012,Moorabool,5377,Ballarat
31/1/2013,Moorabool,4380,Ballarat
28/2/2013,Moorabool,4239,Ballarat
31/3/2013,Moorabool,4063,Ballarat
30/4/2013,Moorabool,3990,Ballarat
31/5/2013,Moorabool,4014,Ballarat
30/6/2013,Moorabool,4039,Ballarat
31/7/2013,Moorabool,4201,Ballarat
31/8/2013,Moorabool,4458,Ballarat
30/9/2013,Moorabool,4735,Ballarat
31/10/2013,Moorabool,4842,Ballarat
30/11/2013,Moorabool,4497,Ballarat
31/12/2013,Moorabool,3679,Ballarat
31/1/2014,Moorabool,3430,Ballarat
28/2/2014,Moorabool,3214,Ballarat
31/3/2014,Moorabool,3172,Ballarat
30/4/2014,Moorabool,3110,Ballarat
31/5/2014,Moorabool,3203,Ballarat
30/6/2014,Moorabool,3099,Ballarat
31/7/2014,Moorabool,3078.7,Ballarat
31/8/2014,Moorabool,3299,Ballarat
30/9/2014,Moorabool,2968,Ballarat
31/10/2014,Moorabool,2502,Ballarat
30/11/2014,Moorabool,2756.2,Ballarat
31/12/2014,Moorabool,1876.9,Ballarat
31/1/2015,Moorabool,1797,Ballarat
28/2/2015,Moorabool,1740,Ballarat
31/3/2015,Moorabool,1630,Ballarat
30/4/2015,Moorabool,1617,Ballarat
31/5/2015,Moorabool,1644,Ballarat
30/6/2015,Moorabool,1651,Ballarat
31/7/2015,Moorabool,1719,Ballarat
31/8/2015,Moorabool,1770.9,Ballarat
30/9/2015,Moorabool,1678,Ballarat
31/10/2015,Moorabool,1027,Ballarat
30/11/2015,Moorabool,948,Ballarat
31/12/2015,Moorabool,852,Ballarat
31/1/2016,Moorabool,809,Ballarat
29/2/2016,Moorabool,755.42,Ballarat
31/3/2016,Moorabool,706,Ballarat
30/4/2016,Moorabool,692,Ballarat
31/5/2016,Moorabool,713,Ballarat
30/6/2016,Moorabool,742,Ballarat
31/7/2016,Moorabool,1358,Ballarat
31/8/2016,Moorabool,1975,Ballarat
30/9/2016,Moorabool,4303,Ballarat
31/10/2016,Moorabool,5773,Ballarat
30/11/2016,Moorabool,6076,Ballarat
31/12/2016,Moorabool,5960,Ballarat
31/1/2017,Moorabool,5730,Ballarat
28/2/2017,Moorabool,5321,Ballarat
31/3/2017,Moorabool,4788,Ballarat
30/4/2017,Moorabool,4393,Ballarat
31/5/2017,Moorabool,4354,Ballarat
30/6/2017,Moorabool,4341,Ballarat
31/7/2017,Moorabool,4445,Ballarat
31/8/2017,Moorabool,4829,Ballarat
30/9/2017,Moorabool,5211,Ballarat
31/10/2017,Moorabool,5377,Ballarat
30/11/2017,Moorabool,4991,Ballarat
31/12/2017,Moorabool,4883,Ballarat
31/1/2018,Moorabool,3868,Ballarat
28/2/2018,Moorabool,3267,Ballarat
31/3/2018,Moorabool,2627,Ballarat
30/4/2018,Moorabool,2573,Ballarat
31/5/2018,Moorabool,2646,Ballarat
30/6/2018,Moorabool,2710,Ballarat
31/7/2018,Moorabool,2842,Ballarat
31/8/2018,Moorabool,3151,Ballarat
30/9/2018,Moorabool,3151,Ballarat
31/10/2018,Moorabool,2672.856,Ballarat
30/11/2018,Moorabool,2189,Ballarat
31/12/2018,Moorabool,2121,Ballarat
31/1/2019,Moorabool,1982.446,Ballarat
28/2/2019,Moorabool,1862.092,Ballarat
31/3/2019,Moorabool,1767.9,Ballarat
30/4/2019,Moorabool,1726,Ballarat
31/5/2019,Moorabool,1862,Ballarat
30/6/2019,Moorabool,2355,Ballarat
31/7/2019,Moorabool,3008,Ballarat
31/8/2019,Moorabool,3929,Ballarat
30/9/2019,Moorabool,4444.636,Ballarat
31/10/2019,Moorabool,4536,Ballarat
30/11/2019,Moorabool,4562,Ballarat
31/12/2019,Moorabool,4341,Ballarat
31/1/2020,Moorabool,4227,Ballarat
29/2/2020,Moorabool,4176,Ballarat
31/3/2020,Moorabool,4076,Ballarat
30/4/2020,Moorabool,4151,Ballarat
31/5/2020,Moorabool,3726,Ballarat
30/6/2020,Moorabool,3430,Ballarat
31/7/2020,Moorabool,3353,Ballarat
31/8/2020,Moorabool,3880,Ballarat
30/9/2020,Moorabool,4201.132,Ballarat
31/10/2020,Moorabool,4734.74,Ballarat
30/11/2020,Moorabool,4788,Ballarat
31/12/2020,Moorabool,4392.996,Ballarat
31/1/2021,Moorabool,3844,Ballarat
28/2/2021,Moorabool,3310,Ballarat
31/3/2021,Moorabool,3161,Ballarat
30/4/2021,Moorabool,3109.512,Ballarat
31/5/2021,Moorabool,3213.78,Ballarat
30/6/2021,Moorabool,3519.308,Ballarat
31/7/2021,Moorabool,4051.194,Ballarat
31/8/2021,Moorabool,4909.63,Ballarat
