Reservoir,System,Attribute,Value
White Swan,Ballarat,Total_Capacity,14107
White Swan,Ballarat,Water_Stored,6228
Moorabool,Ballarat,Total_Capacity,6192
Moorabool,Ballarat,Water_Stored,2263
Wilsons,Ballarat,Total_Capacity,1010
Wilsons,Ballarat,Water_Stored,219
Gong Gong,Ballarat,Total_Capacity,1902
Gong Gong,Ballarat,Water_Stored,483
Lal Lal (CHW share),Ballarat,Total_Capacity,35670
Lal Lal (CHW share),Ballarat,Water_Stored,19804
Eppalock (Coliban share),Bendigo,Total_Capacity,54900
Eppalock (Coliban share),Bendigo,Water_Stored,28351
Lauriston,Bendigo,Total_Capacity,19790
Lauriston,Bendigo,Water_Stored,17613
Malmsbury,Bendigo,Total_Capacity,12034
Malmsbury,Bendigo,Water_Stored,3610
Sandhurst,Bendigo,Total_Capacity,2590
Sandhurst,Bendigo,Water_Stored,2180
Upper Coliban,Bendigo,Total_Capacity,37770
Upper Coliban,Bendigo,Water_Stored,23417
Nillahcootie,Broken,Total_Capacity,40400
Nillahcootie,Broken,Water_Stored,29734
Eppalock (G-MW share),Campaspe,Total_Capacity,249751
Eppalock (G-MW share),Campaspe,Water_Stored,129154
Bostock,Geelong,Total_Capacity,7360
Bostock,Geelong,Water_Stored,689
Korweinguboora,Geelong,Total_Capacity,2327
Korweinguboora,Geelong,Water_Stored,447
Lal Lal (Barwon share),Geelong,Total_Capacity,16793
Lal Lal (Barwon share),Geelong,Water_Stored,8993
Stony Creek,Geelong,Total_Capacity,9397
Stony Creek,Geelong,Water_Stored,5642
West Barwon,Geelong,Total_Capacity,21504
West Barwon,Geelong,Water_Stored,6625
Wurdee Boluc,Geelong,Total_Capacity,37957
Wurdee Boluc,Geelong,Water_Stored,16301
Bellfield,Glenelg/Wimmera,Total_Capacity,78560
Bellfield,Glenelg/Wimmera,Water_Stored,60560
Fyans,Glenelg/Wimmera,Total_Capacity,18460
Fyans,Glenelg/Wimmera,Water_Stored,14310
Lonsdale,Glenelg/Wimmera,Total_Capacity,53300
Lonsdale,Glenelg/Wimmera,Water_Stored,14800
Moora Moora,Glenelg/Wimmera,Total_Capacity,6300
Moora Moora,Glenelg/Wimmera,Water_Stored,3980
Rocklands,Glenelg/Wimmera,Total_Capacity,296000
Rocklands,Glenelg/Wimmera,Water_Stored,102950
