Heading,Report line item,Water year,Value
Surface water (consumptive),Bulk entitlements,2023-24,4628318
Surface water (consumptive),Licences,2023-24,227941
Surface water (environment),Bulk and environmental entitlements,2023-24,1639966
Groundwater (consumptive),Bulk entitlements,2023-24,10000
Groundwater (consumptive),Licences,2023-24,939134
Desalinated water (consumptive),Bulk entitlements,2023-24,150000
Surface water (consumptive),Bulk entitlements,2022-23,4632916
Surface water (consumptive),Licences,2022-23,241739
Surface water (environment),Bulk and environmental entitlements,2022-23,1625508
Groundwater (consumptive),Bulk entitlements,2022-23,10000
Groundwater (consumptive),Licences,2022-23,939157
Desalinated water (consumptive),Bulk entitlements,2022-23,150000
Surface water (consumptive),Bulk entitlements,2021-22,4617058
Surface water (consumptive),Licences,2021-22,241757
Surface water (environment),Bulk and environmental entitlements,2021-22,1617502
Groundwater (consumptive),Bulk entitlements,2021-22,10000
Groundwater (consumptive),Licences,2021-22,943312
Desalinated water (consumptive),Bulk entitlements,2021-22,150000
Surface water (consumptive),Bulk entitlements,2020-21,4576384
Surface water (consumptive),Licences,2020-21,225525
Surface water (environment),Bulk and environmental entitlements,2020-21,1617502
Groundwater (consumptive),Bulk entitlements,2020-21,10000
Groundwater (consumptive),Licences,2020-21,938282
Desalinated water (consumptive),Bulk entitlements,2020-21,150000
