Report line item,Water year,Value
Surface water,2023-24,21088949
Groundwater,2023-24,987718
Recycled water,2023-24,536679
Desalinated water,2023-24,0
Surface water,2022-23,49028935
Groundwater,2022-23,987392
Recycled water,2022-23,579062
Desalinated water,2022-23,4136
Surface water,2021-22,33025526
Groundwater,2021-22,1004648
Recycled water,2021-22,525251
Desalinated water,2021-22,125000
Surface water,2020-21,22304578
Groundwater,2020-21,999820
Recycled water,2020-21,512667
Desalinated water,2020-21,125000
Surface water,2019-20,15958004
Groundwater,2019-20,999699
Recycled water,2019-20,510583
Desalinated water,2019-20,118324
Surface water,2018-19,10704896
Groundwater,2018-19,1017476
Recycled water,2018-19,461285
Desalinated water,2018-19,21966
Surface water,2017-18,13968960
Groundwater,2017-18,931193
Recycled water,2017-18,474881
Desalinated water,2017-18,15000
Surface water,2016-17,30907414
Groundwater,2016-17,838103
Recycled water,2016-17,493601
Desalinated water,2016-17,46143
Surface water,2015-16,12967156
Groundwater,2015-16,837923
Recycled water,2015-16,450062
Desalinated water,2015-16,0
