Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature
CANN (WB) @ WEERAGUA,221201,07,355.07,89.5,9.6
CANN (WB) @ WEERAGUA,221201,08,131.23,2.4,9.3
CANN (WB) @ WEERAGUA,221201,09,95.08,3.2,12.7
CANN (WB) @ WEERAGUA,221201,10,71.92,3.4,13.7
CANN (WB) @ WEERAGUA,221201,11,59.67,2.9,18.5
CANN (WB) @ WEERAGUA,221201,12,49.34,2.4,20
CANN (WB) @ WEERAGUA,221201,01,42.93,1.9,22.4
CANN (WB) @ WEERAGUA,221201,02,84.45,2.9,17.8
CANN (WB) @ WEERAGUA,221201,03,73.68,2.6,18.5
CANN (WB) @ WEERAGUA,221201,04,648.46,1.6,15.3
CANN (WB) @ WEERAGUA,221201,05,256.14,2.2,10.6
CANN (WB) @ WEERAGUA,221201,06,211.95,2.8,7.7
WINGAN @WINGAN INLET,221208,07,453.19,6.4,9
WINGAN @WINGAN INLET,221208,08,176.04,4.4,13.2
WINGAN @WINGAN INLET,221208,09,147.28,7.6,11.1
WINGAN @WINGAN INLET,221208,10,86.36,4.7,15.3
WINGAN @WINGAN INLET,221208,11,43.68,3.5,19.9
WINGAN @WINGAN INLET,221208,12,52.55,3.7,23.6
WINGAN @WINGAN INLET,221208,01,30.65,3.3,23.9
WINGAN @WINGAN INLET,221208,02,129.76,8.2,20.4
WINGAN @WINGAN INLET,221208,03,40.23,4.4,19.1
WINGAN @WINGAN INLET,221208,04,384.11,4.5,16.4
WINGAN @WINGAN INLET,221208,05,208.54,5.9,10.1
WINGAN @WINGAN INLET,221208,06,368.6,6.8,8.3
GENOA @ GORGE,221210,07,681.43,5.2,9.2
GENOA @ GORGE,221210,08,172.97,3.9,11.4
GENOA @ GORGE,221210,09,122.65,2.4,15
GENOA @ GORGE,221210,10,82.46,3.3,20.5
GENOA @ GORGE,221210,11,49.45,1.6,20.4
GENOA @ GORGE,221210,12,62.99,2.7,23.4
GENOA @ GORGE,221210,01,59.93,1.7,23.5
GENOA @ GORGE,221210,02,676.58,22,17.2
GENOA @ GORGE,221210,03,152.23,2.4,21.4
GENOA @ GORGE,221210,04,2523.24,4.6,19.4
GENOA @ GORGE,221210,05,575.66,7.1,12
GENOA @ GORGE,221210,06,320.75,8.4,8.1
COMBIENBAR @ COMB.,221211,08,89.79,6.9,10.3
COMBIENBAR @ COMB.,221211,11,38.67,8.1,17.6
COMBIENBAR @ COMB.,221211,02,61.15,10.6,16.1
COMBIENBAR @ COMB.,221211,05,166.63,5.7,10.2
BEMM @ PRINCES HWY,221212,07,1700.17,6.6,8.4
BEMM @ PRINCES HWY,221212,08,553.54,8.1,10.3
BEMM @ PRINCES HWY,221212,09,456.76,20.5,9.7
BEMM @ PRINCES HWY,221212,10,349.89,4.9,14.5
BEMM @ PRINCES HWY,221212,11,269.45,5.6,17.3
BEMM @ PRINCES HWY,221212,12,218.31,3.4,22.2
BEMM @ PRINCES HWY,221212,01,207.3,4.2,19.3
BEMM @ PRINCES HWY,221212,02,387.24,18.3,15.9
BEMM @ PRINCES HWY,221212,03,283.98,5.4,17.2
BEMM @ PRINCES HWY,221212,04,1433.2,5.3,15.1
BEMM @ PRINCES HWY,221212,05,721.57,6.6,10.9
BEMM @ PRINCES HWY,221212,06,861.36,13.3,6.1
CANN RV U/S O/TAKE,221224,07,789.38,6.5,8.8
CANN RV U/S O/TAKE,221224,08,246.29,3.9,13.2
CANN RV U/S O/TAKE,221224,09,194.03,3.8,10.8
CANN RV U/S O/TAKE,221224,10,136.54,4,17.8
CANN RV U/S O/TAKE,221224,11,102.71,2.6,17.5
CANN RV U/S O/TAKE,221224,12,86.13,2,21.9
CANN RV U/S O/TAKE,221224,01,79.19,2.5,22.2
CANN RV U/S O/TAKE,221224,02,222.98,8.1,17.3
CANN RV U/S O/TAKE,221224,03,124.08,4.4,20.3
CANN RV U/S O/TAKE,221224,04,1273.86,4,14.2
CANN RV U/S O/TAKE,221224,05,429.23,3.5,12
CANN RV U/S O/TAKE,221224,06,407.9,4.9,8.7
BEMM R U/S PUMPHOUSE,221225,07,2341.28,108,10.8
BEMM R U/S PUMPHOUSE,221225,08,562.69,5.9,9.8
BEMM R U/S PUMPHOUSE,221225,09,469.33,12.4,11
BEMM R U/S PUMPHOUSE,221225,10,348.81,4.7,13.5
BEMM R U/S PUMPHOUSE,221225,11,265.54,4.6,16.7
BEMM R U/S PUMPHOUSE,221225,12,215.53,2.9,19.6
BEMM R U/S PUMPHOUSE,221225,01,201.27,3.4,19.8
BEMM R U/S PUMPHOUSE,221225,02,402.2,9.9,16.1
BEMM R U/S PUMPHOUSE,221225,03,246.68,5.1,17.3
BEMM R U/S PUMPHOUSE,221225,04,1521.04,5.9,15.5
BEMM R U/S PUMPHOUSE,221225,05,758.58,7.2,11.5
BEMM R U/S PUMPHOUSE,221225,06,947.7,6.3,7
SNOWY R @ JARRAHMOND,222200,07,4638.76,7.3,10.4
SNOWY R @ JARRAHMOND,222200,08,2828.33,4.6,12.7
SNOWY R @ JARRAHMOND,222200,09,2887.29,3.8,16.2
SNOWY R @ JARRAHMOND,222200,10,2883.23,4.4,15.6
SNOWY R @ JARRAHMOND,222200,11,1718.41,1.7,22.5
SNOWY R @ JARRAHMOND,222200,12,1497.92,2.2,24.5
SNOWY R @ JARRAHMOND,222200,01,1152.91,1.3,27.6
SNOWY R @ JARRAHMOND,222200,02,1586.92,40.3,27.1
SNOWY R @ JARRAHMOND,222200,03,814.26,2,27.5
SNOWY R @ JARRAHMOND,222200,04,2458.13,4.9,20.1
SNOWY R @ JARRAHMOND,222200,05,1914.08,6.4,15.9
SNOWY R @ JARRAHMOND,222200,06,3479.25,50,10.7
BRODRIBB @ SARDINE,222202,07,1188.99,5.6,9.2
BRODRIBB @ SARDINE,222202,08,407.28,5.7,8.1
BRODRIBB @ SARDINE,222202,09,323.38,2.8,10.5
BRODRIBB @ SARDINE,222202,10,300.08,10,10
BRODRIBB @ SARDINE,222202,11,200.72,2.2,17.9
BRODRIBB @ SARDINE,222202,12,152.32,2.2,17.5
BRODRIBB @ SARDINE,222202,01,147.63,2,21
BRODRIBB @ SARDINE,222202,02,174.44,17.4,19.3
BRODRIBB @ SARDINE,222202,03,149.25,2.3,19.7
BRODRIBB @ SARDINE,222202,04,441.63,3.6,13.5
