Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
CANN (WB) @ WEERAGUA,221201,7,355.07,89.5,9.6," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,8,131.23,2.4,9.3," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,9,95.08,3.2,12.7," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,10,71.92,3.4,13.7," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,11,59.67,2.9,18.5," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,12,49.34,2.4,20," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,1,42.93,1.9,22.4," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,2,84.45,2.9,17.8," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,3,73.68,2.6,18.5," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,4,648.46,1.6,15.3," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,5,256.14,2.2,10.6," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
CANN (WB) @ WEERAGUA,221201,6,211.95,2.8,7.7," 37°22'22.6""S","149°11'55.2""E",694682.003,5861473.000
WINGAN @WINGAN INLET,221208,7,453.19,6.4,9," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,8,176.04,4.4,13.2," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,9,147.28,7.6,11.1," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,10,86.36,4.7,15.3," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,11,43.68,3.5,19.9," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,12,52.55,3.7,23.6," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,1,30.65,3.3,23.9," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,2,129.76,8.2,20.4," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,3,40.23,4.4,19.1," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,4,384.11,4.5,16.4," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,5,208.54,5.9,10.1," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
WINGAN @WINGAN INLET,221208,6,368.6,6.8,8.3," 37°41'19.6""S","149°29'30.4""E",719710.303,5825779.499
GENOA @ GORGE,221210,7,681.43,5.2,9.2," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,8,172.97,3.9,11.4," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,9,122.65,2.4,15," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,10,82.46,3.3,20.5," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,11,49.45,1.6,20.4," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,12,62.99,2.7,23.4," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,1,59.93,1.7,23.5," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,2,676.58,22,17.2," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,3,152.23,2.4,21.4," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,4,2523.24,4.6,19.4," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,5,575.66,7.1,12," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
GENOA @ GORGE,221210,6,320.75,8.4,8.1," 37°24'56.8""S","149°31'13.4""E",723045.999,5856006.999
COMBIENBAR @ COMB.,221211,8,89.79,6.9,10.3," 37°26'24.7""S","148°58'59.3""E",675439.003,5854433.000
COMBIENBAR @ COMB.,221211,11,38.67,8.1,17.6," 37°26'24.7""S","148°58'59.3""E",675439.003,5854433.000
COMBIENBAR @ COMB.,221211,2,61.15,10.6,16.1," 37°26'24.7""S","148°58'59.3""E",675439.003,5854433.000
COMBIENBAR @ COMB.,221211,5,166.63,5.7,10.2," 37°26'24.7""S","148°58'59.3""E",675439.003,5854433.000
BEMM @ PRINCES HWY,221212,7,1700.17,6.6,8.4," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,8,553.54,8.1,10.3," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,9,456.76,20.5,9.7," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,10,349.89,4.9,14.5," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,11,269.45,5.6,17.3," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,12,218.31,3.4,22.2," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,1,207.3,4.2,19.3," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,2,387.24,18.3,15.9," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,3,283.98,5.4,17.2," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,4,1433.2,5.3,15.1," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,5,721.57,6.6,10.9," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
BEMM @ PRINCES HWY,221212,6,861.36,13.3,6.1," 37°36'25.7""S","148°54'05.9""E",667854.996,5836059.000
CANN RV U/S O/TAKE,221224,7,789.38,6.5,8.8," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,8,246.29,3.9,13.2," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,9,194.03,3.8,10.8," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,10,136.54,4,17.8," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,11,102.71,2.6,17.5," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,12,86.13,2,21.9," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,1,79.19,2.5,22.2," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,2,222.98,8.1,17.3," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,3,124.08,4.4,20.3," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,4,1273.86,4,14.2," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,5,429.23,3.5,12," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
CANN RV U/S O/TAKE,221224,6,407.9,4.9,8.7," 37°32'19.1""S","149°09'24.1""E",690544.001,5843171.000
BEMM R U/S PUMPHOUSE,221225,7,2341.28,108,10.8," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,8,562.69,5.9,9.8," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,9,469.33,12.4,11," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,10,348.81,4.7,13.5," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,11,265.54,4.6,16.7," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,12,215.53,2.9,19.6," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,1,201.27,3.4,19.8," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,2,402.2,9.9,16.1," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,3,246.68,5.1,17.3," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,4,1521.04,5.9,15.5," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
BEMM R U/S PUMPHOUSE,221225,5,758.58,7.2,11.5," 37°43'46.6""S","148°57'03.6""E",671929.000,5822376.999
