Heading,Water year,Volume of use (ML),Proportion of total diversions (%)
Domestic and stock,2023-24,119475,0.03
Environmental deliveries,2023-24,933031,0.22
Irrigation,2023-24,2440484,0.57
Power generation,2023-24,65296,0.02
Urban and commercial,2023-24,754491,0.17
Domestic and stock,2022-23,197789,0.05
Environmental deliveries,2022-23,612279,0.16
Irrigation,2022-23,2149379,0.57
Power generation,2022-23,61547,0.02
Urban and commercial,2022-23,736708,0.2
Domestic and stock,2021-22,146471,0.03
Environmental deliveries,2021-22,1008424,0.23
Irrigation,2021-22,2417965,0.55
Power generation,2021-22,65401,0.01
Urban and commercial,2021-22,783286,0.18
Domestic and stock,2020-21,136782,0.03
Environmental deliveries,2020-21,656719,0.16
Irrigation,2020-21,2469705,0.61
Power generation,2020-21,75990,0.02
Urban,2020-21,712895,0.18
